material_id,split
63470323660f1387211b5410,train
63470323660f1387211b5411,train
63470323660f1387211b5414,test
63470323660f1387211b5415,train
63470324103349a28b1b53c3,train
63470324103349a28b1b53c6,train
63470324103349a28b1b53c7,train
63470324660f1387211b5418,train
63470324660f1387211b5419,train
63470324660f1387211b541c,test
63470324660f1387211b541d,test
63470324660f1387211b5420,train
63470324660f1387211b5421,test
63470325103349a28b1b53cb,train
63470325103349a28b1b53ce,train
63470325103349a28b1b53cf,train
63470325660f1387211b5425,test
63470325660f1387211b5428,train
63470326103349a28b1b53d2,train
63470326103349a28b1b53d3,train
63470326103349a28b1b53d6,train
63470326103349a28b1b53d7,train
63470326660f1387211b542c,validation
63470326660f1387211b542d,train
63470327103349a28b1b53da,train
63470327103349a28b1b53db,train
63470327103349a28b1b53df,train
63470327660f1387211b5430,train
63470327660f1387211b5431,train
63470327660f1387211b5434,train
63470327660f1387211b5435,test
63470328103349a28b1b53e2,train
63470328103349a28b1b53e3,train
63470328103349a28b1b53e7,train
63470328660f1387211b5438,train
63470328660f1387211b5439,train
63470328660f1387211b543c,train
63470328660f1387211b543d,train
63470329103349a28b1b53eb,train
63470329660f1387211b5440,train
63470329660f1387211b5441,train
63470329660f1387211b5444,train
6347032a103349a28b1b53f2,train
6347032a103349a28b1b53f3,train
6347032a103349a28b1b53f6,train
6347032a103349a28b1b53f7,train
6347032a660f1387211b5446,train
6347032a660f1387211b5448,train
6347032a660f1387211b544a,train
6347032a660f1387211b544c,train
6347032b103349a28b1b53fa,train
6347032b103349a28b1b53fb,validation
6347032b103349a28b1b53fe,train
6347032b103349a28b1b53ff,train
6347032b103349a28b1b5402,train
6347032b660f1387211b544e,train
6347032b660f1387211b5452,train
6347032b660f1387211b5454,train
6347032c103349a28b1b5403,test
6347032c103349a28b1b5406,train
6347032c103349a28b1b5407,train
6347032c103349a28b1b540a,train
6347032c660f1387211b5456,train
6347032d103349a28b1b540e,test
6347032d103349a28b1b540f,train
6347032d103349a28b1b5412,train
6347032d103349a28b1b5413,train
6347032d660f1387211b5458,train
6347032d660f1387211b545a,train
6347032e103349a28b1b5416,train
6347032e103349a28b1b5418,validation
6347032e103349a28b1b541a,validation
6347032e103349a28b1b541c,train
6347032e660f1387211b545e,train
6347032e660f1387211b5460,train
6347032e660f1387211b5462,train
6347032e660f1387211b5464,train
6347032f103349a28b1b541e,train
6347032f103349a28b1b5420,test
6347032f103349a28b1b5423,train
6347032f103349a28b1b5426,train
6347032f103349a28b1b5427,test
6347032f660f1387211b5466,test
6347032f660f1387211b5468,train
6347032f660f1387211b546a,train
63470330103349a28b1b542a,train
63470330103349a28b1b542b,validation
63470330660f1387211b546c,train
63470330660f1387211b546e,train
63470330660f1387211b5470,train
63470331103349a28b1b542e,train
63470331103349a28b1b542f,train
63470331103349a28b1b5432,train
63470331103349a28b1b5433,train
63470331660f1387211b5472,train
63470331660f1387211b5474,train
63470331660f1387211b5478,train
63470332103349a28b1b5437,train
63470332103349a28b1b543a,test
63470332103349a28b1b543b,train
63470332660f1387211b547a,train
63470332660f1387211b547c,train
63470332660f1387211b547e,validation
63470332660f1387211b547f,train
63470333103349a28b1b543e,train
63470333103349a28b1b543f,train
63470333103349a28b1b5442,train
63470333660f1387211b5482,test
63470333660f1387211b5483,train
63470333660f1387211b5486,train
63470333660f1387211b5487,train
634712c6660f1387211bbee7,train
634712c6660f1387211bbee9,validation
634712c7103349a28b1bcdeb,train
634712c7103349a28b1bcdec,train
634712c7103349a28b1bcded,train
634712c7103349a28b1bcdf1,train
634712c7103349a28b1bcdf2,train
634712c7103349a28b1bcdf3,train
634712c7660f1387211bbeeb,train
634712c7660f1387211bbeed,test
634712c7660f1387211bbeef,train
634712c7660f1387211bbef1,train
634712c7660f1387211bbef3,train
634712c8103349a28b1bcdf7,train
634712c8103349a28b1bcdf9,test
634712c8103349a28b1bcdfd,train
634712c8103349a28b1bcdfe,train
634712c8660f1387211bbef5,train
634712c8660f1387211bbef7,train
634712c8660f1387211bbef9,train
634712c9103349a28b1bcdff,train
634712c9103349a28b1bce03,train
634712c9103349a28b1bce04,validation
634712c9103349a28b1bce05,test
634712c9660f1387211bbefb,test
634712c9660f1387211bbefd,train
634712c9660f1387211bbeff,train
634712ca103349a28b1bce09,train
634712ca103349a28b1bce0a,train
634712ca103349a28b1bce0b,train
634712ca660f1387211bbf01,train
634712ca660f1387211bbf03,validation
634712ca660f1387211bbf05,train
634712cb103349a28b1bce10,train
634712cb103349a28b1bce11,train
634712cb660f1387211bbf07,train
634712cb660f1387211bbf09,validation
634712cb660f1387211bbf0b,train
634712cb660f1387211bbf0d,test
634712cc103349a28b1bce15,train
634712cc103349a28b1bce16,train
634712cc103349a28b1bce17,validation
634712cc660f1387211bbf0f,train
634712cc660f1387211bbf11,validation
634712cc660f1387211bbf13,train
634712cc660f1387211bbf15,test
634712cd103349a28b1bce1c,train
634712cd103349a28b1bce1d,train
634712cd660f1387211bbf17,test
634712cd660f1387211bbf19,train
634712cd660f1387211bbf1b,train
634712ce103349a28b1bce22,train
634712ce103349a28b1bce27,train
634712ce103349a28b1bce28,train
634712ce103349a28b1bce29,validation
634712ce660f1387211bbf1d,train
634712ce660f1387211bbf1f,validation
634712ce660f1387211bbf21,train
634712ce660f1387211bbf23,train
634712cf103349a28b1bce2d,train
634712cf103349a28b1bce2e,validation
634712cf103349a28b1bce2f,train
634712cf660f1387211bbf25,validation
634712cf660f1387211bbf29,validation
634712cf660f1387211bbf2b,test
634712d0103349a28b1bce33,train
634712d0103349a28b1bce34,train
634712d0103349a28b1bce35,train
634712d0660f1387211bbf2d,train
634712d0660f1387211bbf2f,train
